name,description,url,stars,forks,language,updated_at,pushed_at,license,topics
junchaoshi/sports1.1,Small non-coding RNA annotation Pipeline Optimized for rRNA- and tRNA-Derived Small RNAs,https://github.com/junchaoshi/sports1.1,57,16,Perl,2026-05-20T12:32:20Z,2026-01-09T07:02:20Z,GPL-3.0,"mirna, modification, pirna, rna-seq-analysis, rna-seq-mapping, rrna-derived-small-rna, rsrna, small-rna, trf, trna-derived-small-rna, trna-fragment, trna-halves, tsrna"
nedialkova-lab/mim-tRNAseq,Modification-induced misincorporation tRNA sequencing,https://github.com/nedialkova-lab/mim-tRNAseq,24,18,Scheme,2026-04-29T07:30:44Z,2026-04-29T07:30:39Z,GPL-3.0,
rnabioco/tRNA004,Nanopore direct tRNA sequencing method refinement and RNA modification benchmarking,https://github.com/rnabioco/tRNA004,8,1,Python,2025-12-02T13:46:48Z,2024-07-30T15:33:54Z,,"directrna, nanopore, nanopore-sequencing, rna-modifications, rnaseq, trna, trnaseq"
rnabioinfor/TRAC-Seq,Single-nucleotide resolution profiling of m7G tRNA modifications ,https://github.com/rnabioinfor/TRAC-Seq,5,0,HTML,2024-04-29T07:40:55Z,2019-05-18T23:44:09Z,,
jfallmann/tRNA_ngs_mod_map_call_galaxy,Tool collection for identification of tRNA modifications from NGS data galaxy workflow,https://github.com/jfallmann/tRNA_ngs_mod_map_call_galaxy,3,1,,2024-06-09T18:47:45Z,2017-08-04T08:22:16Z,GPL-3.0,
monimaanam/Modomics_Decoder,Annotates modomics RNA sequences for easy viewing of RNA modifications and nucleotide positions.,https://github.com/monimaanam/Modomics_Decoder,1,1,Python,2024-06-09T19:02:47Z,2023-12-16T16:30:29Z,,"epitranscriptomics, first-contributions, modomics, practice-project, rna, rna-modifications, rna-sequence"
AteeshaNegi/nanopore-2Read-trna-pipeline,Oxford Nanopore 2-Read Genome Wide tRNA Modification Analysis Pipeline - RNA Epitranscriptomics,https://github.com/AteeshaNegi/nanopore-2Read-trna-pipeline,0,0,,2026-03-10T03:08:29Z,2026-03-10T03:08:26Z,,
FlorianPichot/tRNA_reference_construction,,https://github.com/FlorianPichot/tRNA_reference_construction,0,0,R,2020-12-10T09:49:52Z,2020-12-10T09:49:50Z,,
